accessToSubscriberContent | Offset: 8377CC60
bg_shock_volume_element_int | Offset: 8377A224

bg_shock_volume_explosion1 | Offset: 8377A5DC

bg_shock_volume_explosion2 | Offset: 8377A620

bg_shock_volume_explosion3 | Offset: 8377A664

bg_shock_volume_explosion4 | Offset: 8377A6A8

bg_shock_volume_explosion5 | Offset: 8377A6EC

bg_shock_volume_explosiondist1 | Offset: 8377A114

bg_shock_volume_explosiondist2 | Offset: 8377A158

bg_shock_volume_explosiveimpact | Offset: 8377A19C

bg_shock_volume_grondo2d | Offset: 8377AB70

bg_shock_volume_grondo3d | Offset: 8377AB2C

bg_shock_volume_hurt | Offset: 8377AD08

bg_shock_volume_item | Offset: 8377A598

bg_shock_volume_local | Offset: 8377ABF8

bg_shock_volume_local2 | Offset: 8377AC3C

bg_shock_volume_local3 | Offset: 8377AC80

bg_shock_volume_menu | Offset: 8377A444

bg_shock_volume_mission | Offset: 8377AE5C

bg_shock_volume_music | Offset: 8377ADD4

bg_shock_volume_musicnopause | Offset: 8377AE18

bg_shock_volume_nonshock | Offset: 8377AAA4

bg_shock_volume_nonshock2 | Offset: 8377AAE8

bg_shock_volume_norestrict | Offset: 8377A884

bg_shock_volume_norestrict2d | Offset: 8377A8C8

bg_shock_volume_physics | Offset: 83779EF4

bg_shock_volume_player1 | Offset: 8377AD4C

bg_shock_volume_player2 | Offset: 8377AD90

bg_shock_volume_reload | Offset: 8377A510

bg_shock_volume_reload2d | Offset: 8377A554

bg_shock_volume_shellshock | Offset: 8377AF28

bg_shock_volume_vehicle | Offset: 8377A3BC

bg_shock_volume_vehicle2d | Offset: 8377A950

bg_shock_volume_vehiclelimited | Offset: 8377A400

bg_shock_volume_voice | Offset: 8377ABB4

bg_shock_volume_weapon | Offset: 8377AA1C

bg_shock_volume_weapon2d | Offset: 8377AA60

bg_shock_volume_weapon_dist | Offset: 8377A994

bg_shock_volume_weapon_mid | Offset: 8377A9D8

bg_swingSpeed | Offset: 83777188

bg_viewBobAmplitudeBase | Offset: 83777210

bg_viewBobAmplitudeDucked | Offset: 83777320

bg_viewBobAmplitudeDuckedAds | Offset: 83777364

bg_viewBobAmplitudeProne | Offset: 837773A8

bg_viewBobAmplitudeRoll | Offset: 837773EC

bg_viewBobAmplitudeSprinting | Offset: 83777254

bg_viewBobAmplitudeStanding | Offset: 83777298

bg_viewBobAmplitudeStandingAds | Offset: 837772DC

bg_viewBobLag | Offset: 83777430

bg_viewKickMax | Offset: 83776C38

bg_viewKickMin | Offset: 83776C7C

bg_viewKickRandom | Offset: 83776CC0

bg_viewKickScale | Offset: 83776BF4

bg_weaponBobAmplitudeBase | Offset: 83777474

bg_weaponBobAmplitudeDucked | Offset: 83777540

bg_weaponBobAmplitudeProne | Offset: 83777584

bg_weaponBobAmplitudeRoll | Offset: 837775C8

bg_weaponBobAmplitudeSprinting | Offset: 837774B8

bg_weaponBobAmplitudeStanding | Offset: 837774FC

bg_weaponBobLag | Offset: 83777650

bg_weaponBobMax | Offset: 8377760C

bullet_penetrationMinFxDist | Offset: 83778134

bullet_ricochetBaseChance | Offset: 83778178

camera_thirdPerson | Offset: 83769C3C

camera_thirdPersonCrosshairOffset | Offset: 83776DD0

camera_thirdPersonOffset | Offset: 83776D04

camera_thirdPersonOffsetAds | Offset: 83776D48

camera_thirdPersonOffsetTurretAds | Offset: 83776D8C

cameraShakeRemoteHelo_Angles | Offset: 83775F78

cameraShakeRemoteHelo_Freqs | Offset: 83775FBC

cameraShakeRemoteHelo_SpeedRange | Offset: 83776000

cameraShakeRemoteMissile_Angles | Offset: 83775EAC

cameraShakeRemoteMissile_Freqs | Offset: 83775EF0

cameraShakeRemoteMissile_SpeedRange | Offset: 83775F34

cg_airstrikeKillCamFarBlur | Offset: 83772F20

cg_airstrikeKillCamFarBlurDist | Offset: 83772FA8

cg_airstrikeKillCamFarBlurStart | Offset: 83772F64

cg_airstrikeKillCamFov | Offset: 83772E98

cg_airstrikeKillCamNearBlur | Offset: 83772EDC

cg_airstrikeKillCamNearBlurEnd | Offset: 83773030

cg_airstrikeKillCamNearBlurStart | Offset: 83772FEC

cg_blood | Offset: 8376FF0C

cg_brass | Offset: 8377188C

cg_centertime | Offset: 837718D0

cg_chatHeight | Offset: 83771FFC

cg_chatTime | Offset: 83771FB8

cg_ColorBlind_EnemyTeam | Offset: 837794DC

cg_ColorBlind_MyParty | Offset: 83779564

cg_ColorBlind_MyTeam | Offset: 83779520

cg_connectionIconSize | Offset: 8377254C

cg_constantSizeHeadIcons | Offset: 837725D4

cg_crosshairAlpha | Offset: 8377177C

cg_crosshairAlphaMin | Offset: 837717C0

cg_crosshairDynamic | Offset: 83771804

cg_crosshairEnemyColor | Offset: 83771848

cg_crosshairVerticalOffset | Offset: 83773718

cg_cullBulletAngle | Offset: 83776908

cg_cullBullets | Offset: 83776880

cg_cursorHints | Offset: 837705B0

cg_deadChatWithDead | Offset: 837722E8

cg_deadChatWithTeam | Offset: 8377221C

cg_deadHearAllLiving | Offset: 837722A4

cg_deadHearTeamLiving | Offset: 83772260

cg_descriptiveText | Offset: 837723F8

cg_draw2D | Offset: 83770704

cg_drawBreathHint | Offset: 8377078C

cg_drawCrosshair | Offset: 83766BA0

cg_drawCrosshairNames | Offset: 83766BE4

cg_drawCrosshairNamesPosX | Offset: 83770ABC

cg_drawCrosshairNamesPosY | Offset: 83770B00

cg_drawDamageDirection | Offset: 83770B88

cg_drawDamageFlash | Offset: 83770B44

cg_drawEffectNum | Offset: 837708E0

cg_drawFPS | Offset: 83770858

cg_drawFPSLabels | Offset: 83770924

cg_drawFriendlyNames | Offset: 83772904

cg_drawGun | Offset: 8377056C

cg_drawHealth | Offset: 83770748

cg_drawMantleHint | Offset: 837707D0

cg_drawMaterial | Offset: 837709F0

cg_drawpaused | Offset: 83772084

cg_drawScriptUsage | Offset: 837709AC

cg_drawSnapshot | Offset: 83770A34

cg_drawStatsSource | Offset: 83770814

cg_drawTalk | Offset: 83779278

cg_drawTurretCrosshair | Offset: 83770A78

cg_drawViewpos | Offset: 8377089C

cg_errordecay | Offset: 83771914

cg_everyoneHearsEveryone | Offset: 83766DC0

cg_explosiveKillCamBackDist | Offset: 837730B8

cg_explosiveKillCamGroundBackDist | Offset: 837731C8

cg_explosiveKillCamGroundUpDist | Offset: 83773184

cg_explosiveKillCamStopDecelDist | Offset: 83773360

cg_explosiveKillCamStopDist | Offset: 8377331C

cg_explosiveKillCamUpDist | Offset: 83773074

cg_explosiveKillCamWallOutDist | Offset: 837730FC

cg_explosiveKillCamWallSideDist | Offset: 83773140

cg_flashbangNameFadeIn | Offset: 837729D0

cg_flashbangNameFadeOut | Offset: 83772A14

cg_footsteps | Offset: 8377199C

cg_fov | Offset: 83770638

cg_fovMin | Offset: 8377067C

cg_fovScale | Offset: 83766B5C

cg_friendlyNameFadeIn | Offset: 83772948

cg_friendlyNameFadeOut | Offset: 8377298C

cg_gameBoldMessageWidth | Offset: 837721D8

cg_gameMessageWidth | Offset: 83772194

cg_gun_x | Offset: 8377672C

cg_gun_y | Offset: 83776770

cg_gun_z | Offset: 837767B4

cg_headIconMinScreenRadius | Offset: 8376682C

cg_hearKillerTime | Offset: 8377232C

cg_hearVictimEnabled | Offset: 83772370

cg_hearVictimTime | Offset: 837723B4

cg_heliKillCamFarBlur | Offset: 83772D44

cg_heliKillCamFarBlurDist | Offset: 83772DCC

cg_heliKillCamFarBlurStart | Offset: 83772D88

cg_heliKillCamFov | Offset: 83772CBC

cg_heliKillCamNearBlur | Offset: 83772D00

cg_heliKillCamNearBlurEnd | Offset: 83772E54

cg_heliKillCamNearBlurStart | Offset: 83772E10

cg_hintFadeTime | Offset: 837705F4

cg_hudChatIntermissionPosition | Offset: 83771270

cg_hudChatPosition | Offset: 8377122C

cg_hudDamageIconHeight | Offset: 83770DA8

cg_hudDamageIconInScope | Offset: 83770E74

cg_hudDamageIconOffset | Offset: 83770DEC

cg_hudDamageIconTime | Offset: 83770E30

cg_hudDamageIconWidth | Offset: 83770D64

cg_hudGrenadeIconEnabledFlash | Offset: 83771050

cg_hudGrenadeIconHeight | Offset: 83770FC8

cg_hudGrenadeIconInScope | Offset: 83770F40

cg_hudGrenadeIconMaxHeight | Offset: 83770EFC

cg_hudGrenadeIconMaxRangeFlash | Offset: 83770EB8

cg_hudGrenadeIconMaxRangeFrag | Offset: 83766A4C

cg_hudGrenadeIconOffset | Offset: 83770F84

cg_hudGrenadeIconWidth | Offset: 8377100C

cg_hudGrenadePointerHeight | Offset: 83771094

cg_hudGrenadePointerPivot | Offset: 8377111C

cg_hudGrenadePointerPulseFreq | Offset: 83771160

cg_hudGrenadePointerPulseMax | Offset: 837711A4

cg_hudGrenadePointerPulseMin | Offset: 837711E8

cg_hudGrenadePointerWidth | Offset: 837710D8

cg_hudLegacySplitscreenScale | Offset: 83766760

cg_hudMapBorderWidth | Offset: 837668F8

cg_hudMapFriendlyHeight | Offset: 8376693C

cg_hudMapFriendlyWidth | Offset: 83766980

cg_hudMapPlayerHeight | Offset: 837669C4

cg_hudMapPlayerWidth | Offset: 83766A08

cg_hudMapRadarLineThickness | Offset: 83774B8C

cg_hudObjectiveTextScale | Offset: 83766D38

cg_hudProneY | Offset: 837715A0

cg_hudSayPosition | Offset: 837712B4

cg_hudSplitscreenBannerScoreboardScale | Offset: 837716B0

cg_hudSplitscreenCompassElementScale | Offset: 83771628

cg_hudSplitscreenCompassScale | Offset: 837667E8

cg_hudSplitscreenOffsetsUseScale | Offset: 8376F318

cg_hudSplitscreenScoreboardScale | Offset: 8377166C

cg_hudSplitscreenStanceScale | Offset: 837667A4

cg_hudStanceFlash | Offset: 83770D20

cg_hudVotePosition | Offset: 837712F8

cg_invalidCmdHintBlinkInterval | Offset: 83772AE0

cg_invalidCmdHintDuration | Offset: 83772A9C

cg_javelinKillCamCloseZDist | Offset: 8377353C

cg_javelinKillCamDownDist | Offset: 83773690

cg_javelinKillCamFov | Offset: 837735C4

cg_javelinKillCamLookLerpDist | Offset: 837736D4

cg_javelinKillCamPassDist | Offset: 83773608

cg_javelinKillCamPassTime | Offset: 83773580

cg_javelinKillCamUpDist | Offset: 8377364C

cg_killCamDefaultLerpTime | Offset: 83772480

cg_killCamTurretLerpTime | Offset: 837724C4

cg_mapLocationSelectionCursorSpeed | Offset: 837715E4

cg_marks_ents_player_only | Offset: 837719E0

cg_minCullBulletDist | Offset: 837768C4

cg_onlineSplitscreenScoreboardWidth | Offset: 8377562C

cg_overheadIconSize | Offset: 83772728

cg_overheadNamesFarDist | Offset: 837726E4

cg_overheadNamesFarScale | Offset: 8377276C

cg_overheadNamesFont | Offset: 8377287C

cg_overheadNamesGlow | Offset: 83772838

cg_overheadNamesMaxDist | Offset: 83772618

cg_overheadNamesNearDist | Offset: 837726A0

cg_overheadNamesSize | Offset: 8377265C

cg_overheadRankSize | Offset: 837727B0

cg_overheadTitlesFont | Offset: 837728C0

cg_overheadTitleSize | Offset: 837727F4

cg_remoteMissileKillCamBackDist | Offset: 837732D8

cg_remoteMissileKillCamUpDist | Offset: 83773294

cg_rocketKillCamBackDist | Offset: 83773250

cg_rocketKillCamUpDist | Offset: 8377320C

cg_scoreboard_externalmute_notice_duration | Offset: 8377584C

cg_scoreboard_externalmute_notice_fadein | Offset: 837757C4

cg_scoreboard_externalmute_notice_fadeout | Offset: 83775808

cg_scoreboardBannerHeight | Offset: 837753C8

cg_scoreboardFont | Offset: 837756B4

cg_scoreboardHeaderFontScale | Offset: 837756F8

cg_scoreboardHeight | Offset: 8377551C

cg_scoreboardItemHeight | Offset: 8377540C

cg_scoreboardMyColor | Offset: 83775560

cg_scoreboardMyPartyColor | Offset: 837755A4

cg_scoreboardPingGraph | Offset: 83775780

cg_scoreboardPingHeight | Offset: 83775494

cg_scoreboardPingText | Offset: 8377573C

cg_scoreboardPingWidth | Offset: 83775450

cg_scoreboardRankFontScale | Offset: 83775670

cg_scoreboardScrollStep | Offset: 83775384

cg_scoreboardTextOffset | Offset: 837755E8

cg_scoreboardWidth | Offset: 837754D8

cg_ScoresPing_BgColor | Offset: 83775340

cg_ScoresPing_HighColor | Offset: 83775274

cg_ScoresPing_Interval | Offset: 83775230

cg_ScoresPing_LowColor | Offset: 837752FC

cg_ScoresPing_MaxBars | Offset: 837751EC

cg_ScoresPing_MedColor | Offset: 837752B8

cg_scriptIconSize | Offset: 83772508

cg_showmiss | Offset: 83771958

cg_splitscreenSpectatorScaleIncrease | Offset: 837716F4

cg_sprintMeterDisabledColor | Offset: 83779234

cg_sprintMeterEmptyColor | Offset: 837791F0

cg_sprintMeterFullColor | Offset: 837791AC

cg_subtitleMinTime | Offset: 837720C8

cg_subtitleWidthStandard | Offset: 8377210C

cg_subtitleWidthWidescreen | Offset: 83772150

cg_teamChatsOnly | Offset: 83772040

cg_TeamColor_Allies | Offset: 83779300

cg_TeamColor_Axis | Offset: 83779344

cg_TeamColor_EnemyTeam | Offset: 83779410

cg_TeamColor_Free | Offset: 83779498

cg_TeamColor_MyParty | Offset: 837793CC

cg_TeamColor_MyTeam | Offset: 83779388

cg_TeamColor_Spectator | Offset: 83779454

cg_thirdPerson | Offset: 83771EEC

cg_thirdPersonAngle | Offset: 83771EA8

cg_thirdPersonMode | Offset: 83771F30

cg_thirdPersonRange | Offset: 83771E64

cg_thirdPersonSpectator | Offset: 83771F74

cg_turretKillCamBackDist | Offset: 837733E8

cg_turretKillCamFov | Offset: 8377342C

cg_turretKillCamUpDist | Offset: 837733A4

cg_turretRemoteKillCamBackDist | Offset: 837734B4

cg_turretRemoteKillCamFov | Offset: 837734F8

cg_turretRemoteKillCamUpDist | Offset: 83773470

cg_viewVehicleInfluence | Offset: 837706C0

cg_viewZSmoothingMax | Offset: 83772B68

cg_viewZSmoothingMin | Offset: 83772B24

cg_viewZSmoothingTime | Offset: 83772BAC

cg_voiceIconSize | Offset: 83772590

cg_waterSheeting_distortionScaleFactor | Offset: 8377397C

cg_waterSheeting_magnitude | Offset: 837739C0

cg_waterSheeting_radius | Offset: 83773A04

cg_weapHitCullAngle | Offset: 83772C34

cg_weapHitCullEnable | Offset: 83772C78

cg_weaponCycleDelay | Offset: 83771738

cg_weaponHintsCoD1Style | Offset: 83766D7C

cg_weaponVisInterval | Offset: 837792BC

cg_youInKillCamSize | Offset: 8377243C

cl_anglespeedkey | Offset: 8376F8F0

cl_bypassMouseInput | Offset: 8376FB98

cl_connectionAttempts | Offset: 8376F79C

cl_connectTimeout | Offset: 8376F758

cl_deathMessageWidth | Offset: 8376F3E4

cl_demo_client | Offset: 837700A4

cl_demo_enabled | Offset: 8376FFD8

cl_demo_errormessage | Offset: 837701B4

cl_demo_errortitle | Offset: 83770170

cl_demo_keyframerate | Offset: 837700E8

cl_demo_pause | Offset: 83770060

cl_demo_playercard_display_start_time | Offset: 8377012C

cl_demo_recordPrivateMatch | Offset: 8377001C

cl_demo_render_fps | Offset: 83770308

cl_demo_render_height | Offset: 837702C4

cl_demo_render_width_wide | Offset: 83770280

cl_demo_ui_segment_position | Offset: 8377023C

cl_demo_ui_selected_segment | Offset: 837701F8

cl_demo_uploadfb | Offset: 8377034C

cl_dirSelConvergenceTime | Offset: 8376F934

cl_freelook | Offset: 8376FA88

cl_hudDrawsBehindUI | Offset: 8376F6D0

cl_ingame | Offset: 8376FD74

cl_maxpackets | Offset: 8376F978

cl_maxPing | Offset: 8376FDB8

cl_migrationTimeout | Offset: 8376F7E0

cl_motdString | Offset: 8376FD30

cl_mouseAccel | Offset: 8376FA44

cl_noprint | Offset: 8376F428

cl_packetdup | Offset: 8376F9BC

cl_paused | Offset: 83761D00

cl_pitchspeed | Offset: 8376F8AC

cl_serverStatusResendTime | Offset: 8376FB54

cl_showmouserate | Offset: 8376FACC

cl_timeout | Offset: 8376F714

cl_yawspeed | Offset: 8376F868

clientSideEffects | Offset: 8376EFE8

com_animCheck | Offset: 83761E10

com_attractmode | Offset: 8376B358

com_attractmodeduration | Offset: 8376B39C

com_cinematicEndInWhite | Offset: 83761EDC

com_completionResolveCommand | Offset: 83761F64

com_errorMessage | Offset: 83780538

com_errorResolveCommand | Offset: 83761F20

com_filter_output | Offset: 83761D88

com_maxfps | Offset: 83761AE0

com_maxFrameTime | Offset: 83761C78

com_timescale | Offset: 83761BAC

compass | Offset: 83773FDC

compassClampIcons | Offset: 83774174

compassCoords | Offset: 837742C8

compassECoordCutoff | Offset: 8377430C

compassFriendlyHeight | Offset: 837741FC

compassFriendlyWidth | Offset: 837741B8

compassHellfireTargetSpot | Offset: 83774A7C

compassHideSansObjectivePointer | Offset: 83774A38

compassHideVehicles | Offset: 837749F4

compassMaxRange | Offset: 83774064

compassMinRadius | Offset: 837740EC

compassMinRange | Offset: 837740A8

compassObjectiveArrowHeight | Offset: 8377452C

compassObjectiveArrowOffset | Offset: 83774570

compassObjectiveArrowRotateDist | Offset: 837745B4

compassObjectiveArrowWidth | Offset: 837744E8

compassObjectiveDetailDist | Offset: 83774928

compassObjectiveDrawLines | Offset: 837747D4

compassObjectiveHeight | Offset: 837744A4

compassObjectiveIconHeight | Offset: 8377485C

compassObjectiveIconWidth | Offset: 83774818

compassObjectiveMaxHeight | Offset: 837749B0

compassObjectiveMaxRange | Offset: 837745F8

compassObjectiveMinAlpha | Offset: 8377463C

compassObjectiveMinDistRange | Offset: 837748E4

compassObjectiveMinHeight | Offset: 8377496C

compassObjectiveNearbyDist | Offset: 837748A0

compassObjectiveNumRings | Offset: 83774680

compassObjectiveRingSize | Offset: 83774708

compassObjectiveRingTime | Offset: 837746C4

compassObjectiveTextHeight | Offset: 83774790

compassObjectiveTextScale | Offset: 8377474C

compassObjectiveWidth | Offset: 83774460

compassPlayerHeight | Offset: 83774284

compassPlayerWidth | Offset: 83774240

compassPortableRadarMinVelocity | Offset: 83774B48

compassPortableRadarRadius | Offset: 83774AC0

compassPortableRadarSweepTime | Offset: 83774B04

compassRadarLineThickness | Offset: 8377441C

compassRadarPingFadeTime | Offset: 837743D8

compassRotation | Offset: 83774350

compassSize | Offset: 83774020

compassSoundPingFadeTime | Offset: 83774130

compassTickertapeStretch | Offset: 83774394

con_gameMsgWindow0FadeInTime | Offset: 83762360

con_gameMsgWindow0FadeOutTime | Offset: 837623A4

con_gameMsgWindow0Filter | Offset: 83766430

con_gameMsgWindow0LineCount | Offset: 837622D8

con_gameMsgWindow0MsgTime | Offset: 83762294

con_gameMsgWindow0ScrollTime | Offset: 8376231C

con_gameMsgWindow0SplitscreenScale | Offset: 837623E8

con_gameMsgWindow1FadeInTime | Offset: 837624F8

con_gameMsgWindow1FadeOutTime | Offset: 8376253C

con_gameMsgWindow1Filter | Offset: 83766474

con_gameMsgWindow1LineCount | Offset: 83762470

con_gameMsgWindow1MsgTime | Offset: 8376242C

con_gameMsgWindow1ScrollTime | Offset: 837624B4

con_gameMsgWindow1SplitscreenScale | Offset: 83762580

con_gameMsgWindow2FadeInTime | Offset: 83762690

con_gameMsgWindow2FadeOutTime | Offset: 837626D4

con_gameMsgWindow2Filter | Offset: 837664B8

con_gameMsgWindow2LineCount | Offset: 83762608

con_gameMsgWindow2MsgTime | Offset: 837625C4

con_gameMsgWindow2ScrollTime | Offset: 8376264C

con_gameMsgWindow2SplitscreenScale | Offset: 83762718

con_gameMsgWindow3FadeInTime | Offset: 83762828

con_gameMsgWindow3FadeOutTime | Offset: 8376286C

con_gameMsgWindow3Filter | Offset: 837664FC

con_gameMsgWindow3LineCount | Offset: 837627A0

con_gameMsgWindow3MsgTime | Offset: 8376275C

con_gameMsgWindow3ScrollTime | Offset: 837627E4

con_gameMsgWindow3SplitscreenScale | Offset: 837628B0

con_matchPrefixOnly | Offset: 8376F3A0

con_typewriterColorBase | Offset: 837629C0

con_typewriterColorGlowCheckpoint | Offset: 83762AD0

con_typewriterColorGlowCompleted | Offset: 83762A48

con_typewriterColorGlowFailed | Offset: 83762A8C

con_typewriterColorGlowUpdated | Offset: 83762A04

con_typewriterDecayDuration | Offset: 8376297C

con_typewriterDecayStartTime | Offset: 83762938

con_typewriterPrintSpeed | Offset: 837628F4

consoleGame | Offset: 83761B24

consoleLBFetchInterval | Offset: 837665C8

counterDownloadInterval | Offset: 8376E658

counterUploadInterval | Offset: 8376E614

dcacheSimulateNoHDD | Offset: 8377CCE8

dcacheThrottleEnabled | Offset: 83762074

dcacheThrottleKBytesPerSec | Offset: 837620B8

demonwareConsideredConnectedTime | Offset: 8376D15C

developer | Offset: 8376583C

didyouknow | Offset: 8377CF4C

drawEntityCount | Offset: 83771380

drawEntityCountPos | Offset: 837713C4

drawEntityCountSize | Offset: 83771408

drawKillcamData | Offset: 837714D4

drawKillcamDataPos | Offset: 83771518

drawKillcamDataSize | Offset: 8377155C

drawLagometer | Offset: 8377133C

drawServerBandwidth | Offset: 8377144C

drawServerBandwidthPos | Offset: 83771490

dw_leaderboard_write_active | Offset: 8376DE60

dw_logging_frequency | Offset: 8376C788

dw_logging_level | Offset: 8376C700

dw_logging_level_chance | Offset: 8376C744

dw_presence_active | Offset: 8376DB74

dw_presence_coop_join_active | Offset: 8376DBB8

dw_presence_get_delay | Offset: 8376DC84

dw_presence_get_rate | Offset: 8376DCC8

dw_presence_put_delay | Offset: 8376DBFC

dw_presence_put_rate | Offset: 8376DC40

dynEnt_bulletForce | Offset: 83773C24

dynEnt_damageScale | Offset: 83773F10

dynEnt_explodeForce | Offset: 83773C68

dynEnt_explodeMaxEnts | Offset: 83773D78

dynEnt_explodeMinForce | Offset: 83773D34

dynEnt_explodeSpinScale | Offset: 83773CF0

dynEnt_explodeUpbias | Offset: 83773CAC

dynEnt_explodingBulletForce | Offset: 83773DBC

dynEnt_explodingBulletMaxEnts | Offset: 83773ECC

dynEnt_explodingBulletMinForce | Offset: 83773E88

dynEnt_explodingBulletSpinScale | Offset: 83773E44

dynEnt_explodingBulletUpbias | Offset: 83773E00

elite_clan_active | Offset: 8376D888

elite_clan_cool_off_time | Offset: 8376DAEC

elite_clan_delay | Offset: 8376D844

elite_clan_get_clan_max_retry_time | Offset: 8376D8CC

elite_clan_get_clan_retry_step | Offset: 8376D910

elite_clan_get_members_max_retry_time | Offset: 8376D954

elite_clan_get_members_retry_step | Offset: 8376D998

elite_clan_get_private_profile_max_retry_time | Offset: 8376D9DC

elite_clan_get_private_profile_retry_step | Offset: 8376DA20

elite_clan_get_public_profile_max_retry_time | Offset: 8376DA64

elite_clan_get_public_profile_retry_step | Offset: 8376DAA8

elite_clan_motd_throttle_time | Offset: 8376DB30

elite_clan_using_title | Offset: 8376E548

entitlements_active | Offset: 8376D514

entitlements_config_file_max_retry_time | Offset: 8376D558

entitlements_config_file_retry_step | Offset: 8376D59C

entitlements_cool_off_time | Offset: 8376D668

entitlements_delay | Offset: 8376D4D0

entitlements_key_archive_max_retry_time | Offset: 8376D5E0

entitlements_key_archive_retry_step | Offset: 8376D624

entitlementSystemOk | Offset: 8376E504

facebook_active | Offset: 8376D1E4

facebook_delay | Offset: 8376D228

facebook_friends_active | Offset: 8376D404

facebook_friends_max_retry_time | Offset: 8376D2F4

